event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0078","UNIQUE","EVT-BSEE-0078","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-439-toppled-hydraulic-workover-unit-results-in-fatality"
"EVT-BSEE-0079","UNIQUE","EVT-BSEE-0079","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-438-barricades-and-fall-protection-will-help-prevent-injuries-even"
"EVT-BSEE-0080","UNIQUE","EVT-BSEE-0080","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-437-improper-fan-and-other-equipment-used-in-hazardous-classified"
"EVT-BSEE-0081","UNIQUE","EVT-BSEE-0081","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/safety-alert-436-arc-flash-injury-during-generator-hookup"
"EVT-BSEE-0082","UNIQUE","EVT-BSEE-0082","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-435-breakdowns-in-communication-and-preparation-lead-to-failure-of"
"EVT-BSEE-0083","UNIQUE","EVT-BSEE-0083","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-434-check-your-cybersecurity-readiness"
"EVT-BSEE-0084","UNIQUE","EVT-BSEE-0084","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-433-crane-anti-two-block-weight-pulled-into-boom-tip-causing-damages"
"EVT-BSEE-0085","UNIQUE","EVT-BSEE-0085","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-432-bsee-identifies-maintenance-and-certification-issues-of-rental"
"EVT-BSEE-0086","UNIQUE","EVT-BSEE-0086","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-431-galley-and-living-quarter-fires"
"EVT-BSEE-0087","UNIQUE","EVT-BSEE-0087","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-430-offshore-workers-exposed-to-biological-hazards"
"EVT-BSEE-0088","UNIQUE","EVT-BSEE-0088","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-429-jacking-up-lift-boat-during-crane-operations"
"EVT-BSEE-0089","UNIQUE","EVT-BSEE-0089","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-428-flexible-intermediate-bulk-container-fibc-parted-straps-result"
"EVT-BSEE-0090","UNIQUE","EVT-BSEE-0090","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-427-hazards-when-replacing-grating"
"EVT-BSEE-0091","UNIQUE","EVT-BSEE-0091","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-426-bsee-identifies-dropped-object-hazards-during-risk-based"
