event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-IMCA-1758,International Marine Contractors Association (IMCA),13/12 Lost time injury (LTI) caused by inadvertent activation of expired line throwing device,https://www.imca-int.com/resources/safety/safety-flashes/1312-lost-time-injury-lti-caused-by-inadvertent-activation-of-expired-line-throwing-device/,SRC-IMCA-1758,ca03770d8b03a8c2fc60bfac5297468e6282c78b76e141e497c35e830ae4b2fa,VERIFIED,VERIFIED,False
EVT-IMCA-1759,International Marine Contractors Association (IMCA),13/12 Fire in engine room workshop,https://www.imca-int.com/resources/safety/safety-flashes/1312-fire-in-engine-room-workshop/,SRC-IMCA-1759,b36279598e28d154e1a711d9eef7c6afa5582077286621ec791ab565ffc939fa,VERIFIED,VERIFIED,False
EVT-IMCA-1760,International Marine Contractors Association (IMCA),12/12 Lifeboat damaged whilst being lowered on davit,https://www.imca-int.com/resources/safety/safety-flashes/1212-lifeboat-damaged-whilst-being-lowered-on-davit/,SRC-IMCA-1760,cd4999da74d17bbe18ea089d3652a383d987dacb1855e0e229ad73692c1acdad,VERIFIED,VERIFIED,False
EVT-IMCA-1762,International Marine Contractors Association (IMCA),12/12 US Coast Guard Alert: Problem with certain kinds of personal flotation device,https://www.imca-int.com/resources/safety/safety-flashes/1212-us-coast-guard-alert-problem-with-certain-kinds-of-personal-flotation-device/,SRC-IMCA-1762,f93b108a3a90920bb7e3177b1ced8c83c521da57d7e3489ff7676e5f54700059,VERIFIED,VERIFIED,False
EVT-IMCA-1763,International Marine Contractors Association (IMCA),12/12 Near-miss: Dropped object,https://www.imca-int.com/resources/safety/safety-flashes/1212-near-miss-dropped-object/,SRC-IMCA-1763,8fb1713d54f0325922eebb816f7c98e5710f78a5efd3a8827397f79a9ce169fa,VERIFIED,VERIFIED,False
EVT-IMCA-1764,International Marine Contractors Association (IMCA),11/12 Lost time injury (LTI): Hand injury,https://www.imca-int.com/resources/safety/safety-flashes/1112-lost-time-injury-lti-hand-injury/,SRC-IMCA-1764,c6e06a1801c035506be1f4097e31854e411644abca8deba1a3731b46963db108,VERIFIED,VERIFIED,False
EVT-IMCA-1765,International Marine Contractors Association (IMCA),11/12 Near-miss: Dropped object – turnbuckle pin,https://www.imca-int.com/resources/safety/safety-flashes/1112-near-miss-dropped-object-turnbuckle-pin/,SRC-IMCA-1765,fa4c973eea712425faaee5b12f91668bc48ff8965cdc51979307aa5361c30c1f,VERIFIED,VERIFIED,False
EVT-IMCA-1766,International Marine Contractors Association (IMCA),11/12 Lost time injury (LTI): Crush injury – arm trapped by movement of crane block,https://www.imca-int.com/resources/safety/safety-flashes/1112-lost-time-injury-lti-crush-injury-arm-trapped-by-movement-of-crane-block/,SRC-IMCA-1766,937961b53c54d6bbbd83ec4336059b47b24e58265a45bcbf607a98edc61c9527,VERIFIED,VERIFIED,False
EVT-IMCA-1767,International Marine Contractors Association (IMCA),11/12 Near-miss: Faulty lifebuoys discovered,https://www.imca-int.com/resources/safety/safety-flashes/1112-near-miss-faulty-lifebuoys-discovered/,SRC-IMCA-1767,ac5ba3d284e202fedd9b78dbc923f788df680e7c4e618a7973c072711407b4b3,VERIFIED,VERIFIED,False
EVT-IMCA-1768,International Marine Contractors Association (IMCA),11/12 Able seaman injured by shifting cargo,https://www.imca-int.com/resources/safety/safety-flashes/1112-able-seaman-injured-by-shifting-cargo/,SRC-IMCA-1768,1b435f9302c483af80e4a98269a7d251414957ba3ed6851824f766f3a4d53673,VERIFIED,VERIFIED,False
EVT-IMCA-1769,International Marine Contractors Association (IMCA),10/12 Diver injured during subsea lifting operations,https://www.imca-int.com/resources/safety/safety-flashes/1012-diver-injured-during-subsea-lifting-operations/,SRC-IMCA-1769,0b3a2bd6b06afa94aa098f5c04d50ac08c34bb1ec7f717ccc6ba29c95e82df95,VERIFIED,VERIFIED,False
EVT-IMCA-1770,International Marine Contractors Association (IMCA),10/12 Tombarra fall wire fatality: Updated reports,https://www.imca-int.com/resources/safety/safety-flashes/1012-tombarra-fall-wire-fatality-updated-reports/,SRC-IMCA-1770,45750091906ee40d6783c6b737da7e1b87c8dd274f59102a295a82ea81fe365e,VERIFIED,VERIFIED,False
EVT-IMCA-1771,International Marine Contractors Association (IMCA),10/12 Lifejacket recall – Mullion Compact 150N ISO 12402,https://www.imca-int.com/resources/safety/safety-flashes/1012-lifejacket-recall-mullion-compact-150n-iso-12402/,SRC-IMCA-1771,2897c8ada1dc7aad58437c1f63519901f65869657b24878fe25b72a5d5d9e770,VERIFIED,VERIFIED,False
EVT-IMCA-1772,International Marine Contractors Association (IMCA),10/12 Damage to davit-mounted small boats,https://www.imca-int.com/resources/safety/safety-flashes/1012-damage-to-davit-mounted-small-boats/,SRC-IMCA-1772,c9d27a44f8e3629e078ce939cfdc3fb8329b95c8f3f41ff9d6a49b5e27be9f12,VERIFIED,VERIFIED,False
EVT-IMCA-1773,International Marine Contractors Association (IMCA),10/12 Hand injury during O₂ handling and equipment maintenance,https://www.imca-int.com/resources/safety/safety-flashes/1012-hand-injury-during-o2-handling-and-equipment-maintenance/,SRC-IMCA-1773,bfed739ad120b5f2b8d09924f9c1c72f8cd45a9b21576b81ceb4b17ca1e2fee2,VERIFIED,VERIFIED,False
EVT-IMCA-1774,International Marine Contractors Association (IMCA),09/12 Inadvertent lowering of lifeboat,https://www.imca-int.com/resources/safety/safety-flashes/0912-inadvertent-lowering-of-lifeboat/,SRC-IMCA-1774,be85c89f66ef830cc6645dea70b530abeeaa9f49672a55503956fc20c51fdc25,VERIFIED,VERIFIED,False
EVT-IMCA-1775,International Marine Contractors Association (IMCA),09/12 Near-miss: Cement tank hatch failure,https://www.imca-int.com/resources/safety/safety-flashes/0912-near-miss-cement-tank-hatch-failure/,SRC-IMCA-1775,c61dac518e536db7daf4800f1755dfe7034b9a9345b0ac15b6189f3632446fb8,VERIFIED,VERIFIED,False
EVT-IMCA-1776,International Marine Contractors Association (IMCA),09/12 Lost time injury (LTI): Hand cut during cutting operations,https://www.imca-int.com/resources/safety/safety-flashes/0912-lost-time-injury-lti-hand-cut-during-cutting-operations/,SRC-IMCA-1776,9bbfcac687307b2eefbf2fead836d0c23a83b3956ba124210f0c4f3b45dd2d13,VERIFIED,VERIFIED,False
